21,Walking,117004161627000,-2.18,4.4,2.14
21,Walking,117004201514000,3.91,11.11,-0.8
21,Walking,117004241644000,-0.23,8.92,2.83
21,Walking,117004321600000,1.84,10.04,-0.11
21,Walking,117004361639000,-0.19,7.74,0.8
21,Walking,117004401648000,0.5,8.16,0.42
21,Walking,117004442572000,0.8,8.35,0.84
21,Walking,117004521948000,1.92,9.08,0.69
21,Walking,117004561530000,1.53,9.34,1.92
21,Walking,117004601630000,3.11,9.3,1.42
21,Walking,117004641547000,1.88,13.29,0.61
21,Walking,117004721686000,-2.45,12.72,-2.3
21,Walking,117004761511000,-5.05,11.88,-0.11
21,Walking,117004803900000,-0.61,11.56,0.23
21,Walking,117004842291000,2.72,10.38,0.84
21,Walking,117004921606000,-0.76,5.67,1.18
21,Walking,117004963904000,-0.89,4.86,0.89
21,Walking,117005001715000,-1.5,3.99,1.61
21,Walking,117005041510000,-0.99,5.41,3.11
21,Walking,117005121497000,1.76,9.85,7.12
21,Walking,117005161505000,0.38,11.22,7.16
21,Walking,117005201544000,1.69,14.02,8.08
21,Walking,117005241583000,-2.45,15.24,0.84
21,Walking,117005321509000,1.95,6.66,-1.12
21,Walking,117005361609000,1.42,10.99,-0.08
21,Walking,117005401495000,-2.91,6.85,1.23
21,Walking,117005441595000,-0.11,7.4,-0.61
21,Walking,117005521582000,0.38,8.58,0.72
21,Walking,117005561499000,1.33,8.28,1.5
21,Walking,117005601599000,0.91,8.01,1.27
21,Walking,117005641547000,0.46,9.34,1.08
21,Walking,117005724158000,3.76,8.62,1.5
21,Walking,117005762549000,1.92,11.54,1.8
21,Walking,117005801733000,0.89,13.14,-1.12
21,Walking,117005841528000,-0.23,12.49,-3.41
21,Walking,117005921606000,-4.1,13.67,0.84
21,Walking,117005962012000,2.45,10.65,-0.42
21,Walking,117006001715000,1.5,7.97,1.33
21,Walking,117006041663000,-1.04,5.48,1.14
21,Walking,117006121619000,-2.22,3.79,1.42
21,Walking,117006161505000,-0.23,6.32,3.21
21,Walking,117006201544000,1.23,8.24,4.9
21,Walking,117006241675000,0.89,8.05,6.17
21,Walking,117006321509000,1.73,12.3,9.23
21,Walking,117006361639000,-0.19,16.51,4.29
21,Walking,117006401495000,-1.57,10.08,1.38
21,Walking,117006441657000,-2.03,4.71,0.95
21,Walking,117006521674000,-0.08,9.89,0.95
21,Walking,117006561591000,-3.68,5.56,0.38
21,Walking,117006601508000,0.89,9.04,-0.23
21,Walking,117006641516000,1.73,7.59,-0.08
21,Walking,117006721594000,0.99,8.58,1.46
21,Walking,117006771613000,0.53,7.7,1.5
21,Walking,117006811774000,1.42,9.89,1.27
21,Walking,117006851538000,2.26,10.31,1.5
21,Walking,117006891699000,2.91,9.34,2.11
21,Walking,117006971564000,1.8,11.41,-2.15
